Productgroep_oms,Productgroepcode,Productcode,Controlegetal,Product_omschrijving,Fabrikantnaam,Code_nonactief,Hoeveelheid,Meeteenheid,Eetbaar_gedeelte,Vertrouwelijk_code,Commentaarregel,_01001,_01002,_02002,_02003,_02004,_03001,_03002,_03004,_03006,_03008,_03009,_03010,_03011,_03012,_03013,_03014,_03015,_03016,_03017,_03018,_03019,_03020,_03021,_03022,_03023,_03024,_03025,_03026,_03027,_03028,_03029,_03030,_03031,_03032,_03033,_03034,_03035,_03036,_03037,_03038,_03039,_03040,_03041,_03042,_03043,_03044,_03045,_03046,_03047,_03048,_03049,_03052,_03053,_03054,_03055,_03057,_03058,_03059,_03060,_03061,_03062,_03063,_03064,_03065,_03067,_03068,_03069,_03070,_03071,_03072,_03073,_03074,_03075,_03076,_03077,_03089,_03090,_03100,_03102,_03103,_03104,_03105,_03106,_03107,_03108,_03109,_03110,_03111,_03112,_03113,_03114,_03115,_03116,_03117,_03120,_03121,_03122,_03123,_03124,_03125,_03126,_03127,_03128,_03129,_03130,_03131,_03133,_03134,_03135,_03136,_03138,_03139,_03140,_03141,_03142,_04001,_05001,_05002,_05010,_05011,_06001,_07001,_08001,_09001,_09002,_09003,_09004,_09005,_09006,_09007,_09008,_09009,_11001,_11002,_11003,_11005,_11006,_11007,_11008,_11009,_11011,_11012,_11020,_11021,_11022,_11023,_11024,_11027,_11028,_10001,_10002,_11010,_11014,_10003,_05003,_05005,_05006,_05008,_05009,_11015,_11016,_11017,_11018,_12001,_02001,_13006,_05012,_05013,_05014,_05015,_11025,_11026,_11013,_11019
Melk en melkproducten,13,2245,40,Yoghurt magere m vruchten m zoetstof,Vitalinea,N,100,g,1,N,"Per 100g. gem van aardbei, perzik, framboos, peer; bevat aspartaam en acesulfaam-K. Verrijkt met:  Voedingsvezel totaal, Magnesium, Vitamine B12, Vitamine D totaal.",      50,     211,     4.4,     0.1,     4.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,,     0.5,     0.3,     0.3,     0.6,,     0.0,     1.4,,     0.3,    13.9,     1.0,     0.1,     1.5,    30.7,     1.8,     0.4,,     0.9,    10.9,    25.5,     2.6,     1.8,     0.7,     0.2,,     0.2,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,,     0.0,     0.0,     0.0,     0.0,     1.6,     0.0,     0.0,,     0.0,     0.0,     0.0,,     4.6,     0.0,     0.4,     1.8,     0.0,,     0.4,     0.0,     2.1,,    24.9,     0.0,     0.6,,,,     0.0,,     0.3,     0.3,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.1,     0.0,     0.0,     0.4,     0.4,     2.0,     0.6,,,,,,,,,     0.0,,,     0.0,     0.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,    0.00,    0.00,    0.00,     0.2,     7.0,     6.8,     0.2,     0.0,     2.2,    86.0,     0.0,     156,     107,     0.1,     0.0,     0.1,     100,     159,      45,    0.39,       1,       1,       0,    0.04,    0.18,   0.042,    0.28,     0.8,       1,     8.1,       0,,,       5,,       1,     8.1,       1,    0.02,     0.1,     0.1,     6.8,,,,,,     0.1,     0.0,     0.1,     0.1,,,,,,,,,,     0.0,
Melk en melkproducten,13,2246,44,Kwark magere m vruchten/vanille m zoetst,Optimel,N,100,g,1,N,"Per 100g. Verrijkt met:  Vitamine B2, Vitamine B6 totaal, Vitamine B12.",      42,     178,     5.6,     0.0,     5.7,     0.1,     0.1,     0.1,     0.0,     0.0,     0.0,,     0.5,     0.3,     0.3,     0.6,,     0.0,     1.4,,     0.3,    13.9,     1.0,     0.1,     1.5,    30.7,     1.8,     0.4,,     0.9,    10.9,    25.5,     2.6,     1.8,     0.7,     0.2,,     0.2,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,,     0.0,     0.0,     0.0,     0.0,     1.6,     0.0,     0.0,,     0.0,     0.0,     0.0,,     4.6,     0.0,     0.4,     1.8,     0.0,,     0.4,     0.0,     2.1,,    24.9,     0.0,     0.6,,,,     0.0,,     0.3,     0.3,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.1,     0.0,     0.0,     0.4,     0.4,     2.0,     0.6,,,,,,,,,     0.0,,,     0.0,     0.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,    0.00,    0.00,    0.00,     1.1,     4.5,     3.2,     1.3,     0.0,     0.1,    90.0,     0.0,     120,     115,     0.0,     0.0,     0.0,      30,     120,      12,    0.02,,,,    0.03,    0.30,   0.400,    0.35,     0.0,       1,     9.0,,,,,,,     9.0,       0,    0.06,     0.0,     0.0,    23.0,,,,,,,,,,,,,,,,,,,,
Melk en melkproducten,13,2247,49,Kwarkyoghurt m vruchten,,N,100,g,1,N,Per 100g. friesche vlag; gem van verschillende smaken,      98,     415,     4.5,     0.1,     4.4,     1.5,     1.4,     0.9,     0.4,     0.0,     0.0,,     0.5,     0.3,     0.3,     0.6,,     0.0,     1.4,,     0.3,    13.9,     1.0,     0.1,     1.5,    30.7,     1.8,     0.4,,     0.9,    10.9,    25.5,     2.6,     1.8,     0.7,     0.2,,     0.2,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,,     0.0,     0.0,     0.0,     0.0,     1.6,     0.0,     0.0,,     0.0,     0.0,     0.0,,     4.6,     0.0,     0.4,     1.8,     0.0,,     0.4,     0.0,     2.1,,    24.9,     0.0,     0.6,,,,     0.0,,     0.3,     0.3,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.1,     0.0,     0.0,     0.4,     0.4,     2.0,     0.6,,,,,,,,,     0.0,,,     0.0,     0.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,    0.01,    0.00,    0.00,     2.0,    16.6,    15.4,     1.2,     0.0,     0.1,    78.0,     0.0,     150,     105,     0.1,     0.0,     0.1,      48,     149,      11,    0.43,       7,       8,       7,    0.03,    0.16,   0.038,    0.43,     0.0,       3,     7.2,,,,,,       8,     7.2,       1,    0.01,     0.1,     0.1,     4.9,,,,,,,,,,,,,,,,,,,,
Melk en melkproducten,13,2248,53,Kwark vruchten-,Danoontje,N,100,g,1,N,"Per 100g. Verrijkt met:  Calcium, Vitamine D totaal.",      97,     407,     6.6,     0.0,     6.6,     2.9,     2.7,     1.7,     0.8,     0.1,     0.0,,     0.5,     0.3,     0.3,     0.6,,     0.0,     1.4,,     0.3,    13.9,     1.0,     0.1,     1.5,    30.7,     1.8,     0.4,,     0.9,    10.9,    25.5,     2.6,     1.8,     0.7,     0.2,,     0.2,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,,     0.0,     0.0,     0.0,     0.0,     1.6,     0.0,     0.0,,     0.0,     0.0,     0.0,,     4.6,     0.0,     0.4,     1.8,     0.0,,     0.4,     0.0,     2.1,,    24.9,     0.0,     0.6,,,,     0.0,,     0.3,     0.3,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.1,     0.0,     0.0,     0.4,     0.4,     2.0,     0.6,,,,,,,,,     0.0,,,     0.0,     0.2,     0.0,     0.0,     0.0,     0.0,     0.1,     0.0,     0.0,    0.02,    0.00,    0.00,    14.0,    11.0,    10.8,     0.2,     0.0,     0.1,    75.0,     0.0,     241,     117,     0.4,     0.0,     0.4,      40,     117,      10,    0.41,      53,      59,      35,    0.07,    0.24,   0.050,    0.20,     1.3,       1,     5.0,       0,,,       9,,      56,     5.0,       0,    0.01,     0.0,     0.1,     0.1,,,,,,,,,,,,,,,,,,,,
Melk en melkproducten,13,2250,22,IJs Festini,,N,100,g,1,N,Per 100g. Verrijkt met:  Vitamine C.,      88,     374,     0.1,     0.1,     0.0,     0.1,     0.1,     0.1,     0.0,     0.0,     0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     0.0,     0.0,     0.0,    0.00,    0.00,    0.00,     0.0,    21.5,    18.0,     3.5,     0.0,     0.6,    76.3,     0.0,       7,       2,     0.1,     0.0,     0.1,       0,      29,       2,    0.01,       0,       5,      30,    0.01,    0.00,   0.005,    0.00,     0.0,      36,     2.0,,,,,,       2,     2.0,       0,    0.01,     0.0,     0.1,     0.3,,,,,,,,,,,,,,,,,,,,
Melk en melkproducten,13,2251,26,IJs room/vanille m chocoladecoating,,N,100,g,1,N,"Per 100g. gem van magnum, mega en div soorten eigen merk super en edah",     331,    1380,     4.3,     1.1,     3.2,    20.9,    19.8,    12.5,     5.6,     0.6,     0.4,,     1.7,     1.2,     0.4,     0.6,,     0.1,     1.8,,     0.1,     7.9,     0.4,     0.0,     1.1,    25.8,     1.3,     1.0,,     0.9,    20.8,    26.2,     1.9,     0.3,     0.4,     0.1,,     0.5,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.1,     0.0,,     0.0,     0.0,     0.0,     0.0,     2.3,     0.0,     0.0,,     0.0,     0.0,     0.0,,     2.8,     0.0,     1.0,     1.3,     0.1,,     2.3,     0.0,     0.0,,    25.6,     0.0,     0.7,,,,     0.0,,     0.2,     0.2,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     1.4,     0.1,     0.0,     0.4,,,,,,,,,     0.0,,,     0.0,     0.1,     0.1,     0.0,     0.0,     0.0,     0.6,     0.1,     0.4,    0.07,    0.00,    0.00,    69.0,    30.8,    29.6,     1.2,     0.0,     1.3,    42.8,     0.0,     116,     103,     0.9,     0.0,     0.9,      94,     209,      25,    0.53,     108,     137,     171,    0.06,    0.19,   0.038,    0.28,     0.3,       0,     8.0,       1,       5,       1,       1,       0,     123,     8.0,       3,    0.07,     0.7,     0.3,    14.4,     0.0,     0.0,     2.4,     0.0,    10.7,     0.5,     0.0,     1.6,     0.1,     0.9,,     0.0,,,,,      24,       1,,
Melk en melkproducten,13,2252,30,IJs room/vanille m fruitcoating,,N,100,g,1,N,Per 100g. solero,     141,     593,     2.2,     0.6,     1.6,     4.1,     3.9,     2.4,     1.2,     0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     0.0,,,,,,    13.5,    23.5,    22.0,     1.5,     0.0,     0.5,    69.8,     0.0,     104,      70,     0.1,     0.0,     0.1,      50,     150,      18,    0.36,      72,     110,     230,    0.06,    0.14,   0.040,    0.17,     0.2,       0,     6.0,,,,,,      91,     6.0,       1,    0.02,     0.4,     0.1,    15.0,,,,,,     0.4,     0.0,     0.1,     0.0,,,,,,,,,,,
Melk en melkproducten,13,2253,35,Yoghurtdrank Vifit vruchten light,,N,100,g,1,N,"Per 100g. Verrijkt met:  Vitamine B1, Vitamine B2, Vitamine B6 totaal, Vitamine B12, Vitamine E totaal, Nicotinezuur.",      36,     150,     3.4,     0.0,     3.4,     0.8,     0.8,     0.5,     0.2,     0.0,     0.0,,     0.5,     0.3,     0.3,     0.6,,     0.0,     1.4,,     0.3,    13.9,     1.0,     0.1,     1.5,    30.7,     1.8,     0.4,,     0.9,    10.9,    25.5,     2.6,     1.8,     0.7,     0.2,,     0.2,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,,     0.0,     0.0,     0.0,     0.0,     1.6,     0.0,     0.0,,     0.0,     0.0,     0.0,,     4.6,     0.0,     0.4,     1.8,     0.0,,     0.4,     0.0,     2.1,,    24.9,     0.0,     0.6,,,,     0.0,,     0.3,     0.3,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.1,     0.0,     0.0,     0.4,     0.4,     2.0,     0.6,,,,,,,,,     0.0,,,     0.0,     0.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,    0.01,    0.00,    0.00,     0.0,     3.7,     3.7,     0.0,     0.0,     0.0,    91.0,     0.0,     102,      82,     0.1,     0.0,     0.1,      51,     142,      12,    0.29,      13,      15,       9,    0.34,    0.30,   0.460,    0.60,     0.0,       1,     7.5,,,,,,      14,     7.5,       1,    0.02,     2.5,     4.5,     1.4,,,,,,,,,,,,,,,,,,,,
Melk en melkproducten,13,2254,39,Yoghurtdrank m zoetstof,,N,100,g,1,N,"Per 100g. yogho-yogho, go!, perfekt",      26,     112,     2.6,     0.0,     2.6,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,,     0.5,     0.3,     0.3,     0.6,,     0.0,     1.4,,     0.3,    13.9,     1.0,     0.1,     1.5,    30.7,     1.8,     0.4,,     0.9,    10.9,    25.5,     2.6,     1.8,     0.7,     0.2,,     0.2,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,,     0.0,     0.0,     0.0,     0.0,     1.6,     0.0,     0.0,,     0.0,     0.0,     0.0,,     4.6,     0.0,     0.4,     1.8,     0.0,,     0.4,     0.0,     2.1,,    24.9,     0.0,     0.6,,,,     0.0,,     0.3,     0.3,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.1,     0.0,     0.0,     0.4,     0.4,     2.0,     0.6,,,,,,,,,     0.0,,,     0.0,     0.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,    0.00,    0.00,    0.00,     0.4,     3.9,     3.9,     0.0,     0.0,     0.1,    93.0,     0.0,     100,      60,     0.0,     0.0,     0.0,      47,     121,       8,    0.30,       2,       2,       4,    0.02,    0.13,   0.020,    0.23,     0.0,       1,     4.2,,,,,,       2,     4.2,       0,    0.03,     0.0,     0.1,     1.4,,,,,,,,,,,,,,,,,,,,
Melk en melkproducten,13,2255,43,Yoghurtdrank Fristi m zoetstof,,N,100,g,1,N,"Per 100g. rood fruit. Verrijkt met:  Voedingsvezel totaal, Calcium.",      28,     119,     2.5,     0.0,     2.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,    0.00,    0.00,    0.00,     0.4,     3.5,     3.5,     0.0,     0.0,     2.1,    89.0,     0.0,     125,      66,     0.0,     0.0,     0.0,      46,     157,      12,    0.30,       0,       0,       0,    0.02,    0.15,   0.030,    0.00,     0.0,       1,     3.3,,,,,,       0,     3.3,       0,    0.03,     0.0,     0.1,     1.4,,,,,,,,,,,,,,,,,,,,
