----------------------- Page 1-----------------------

                                               English index for NEVO online 2013 

English food name → Dutch food name                                                         Code     Name food group 
Beans kidney, red canned → Bonen kidney‐ rode blik/glas                                  3184     Legumes 
Beans long yard Kouseband boiled → Kousenband gekookt                                    1811    Vegetables 
Beans long yard kouseband raw → Kousenband rauw                                           679     Vegetables 
Beans mung boiled → Bonen mung‐ gekookt                                                  3073    Legumes 
Beans runner → Bonen snij‐ rauw                                                           49      Vegetables 
Beans runner boiled → Bonen snij‐ gekookt                                                 961    Vegetables 
Beans runner frozen unprepared → Bonen snij‐ diepvries onbereid                          1143     Vegetables 
Beans runner tinned → Bonen snij‐ blik/glas                                               138     Vegetables 
Beans soya boiled → Bonen soja‐ gekookt                                                   971    Soya prod. and vegetarian foods 
Beans soya dried → Bonen soja‐ gedroogd                                                   839    Soya prod. and vegetarian foods 
Beans white tinned → Bonen wie blik/glas                                                 3049     Legumes 
Beans white/ brown dried → Bonen wie/bruine gedroogd                                      117    Legumes 
Beans white/brown boiled → Bonen wie/bruine gekookt                                       968    Legumes 
Beef <10% fat prepared → Rundvlees <10 g vet bereid gem                                  1665    Meat, meat products and poultry 
Beef <5% fat raw average → Rundvlees <5 g vet rauw gem                                   1663    Meat, meat products and poultry 
Beef >10% fat prepared → Rundvlees >10 g vet bereid gem                                  1666    Meat, meat products and poultry 
Beef >5% fat raw → Rundvlees >5 g vet rauw gem                                           1664    Meat, meat products and poultry 
Beef breast boneless prepared → Runderborstlappen bereid                                 2902     Meat, meat products and poultry 
Beef breast boneless raw → Runderborstlappen rauw                                        3028     Meat, meat products and poultry 
Beef fat → Vet rund‐ uitgesmolten                                                         315     Fats, oils and savoury sauces 
Beef frying steak prepared → Runderbaklappen bereid                                      1539     Meat, meat products and poultry 
Beef frying steak raw → Runderbaklappen rauw                                             1404     Meat, meat products and poultry 
Beef olives prepared → Vink runder‐ bereid                                               2903     Meat, meat products and poultry 

                                                                  2 

----------------------- Page 3-----------------------

                                               English index for NEVO online 2013 

Beef olives raw → Vink runder‐ rauw                                                          2339    Meat, meat products and poultry 
Beef prime rib prepared → Runderentrecote bereid                                             1538    Meat, meat products and poultry 
Beef prime rib raw → Runderentrecote rauw                                                    1402    Meat, meat products and poultry 
Beef rib prepared → Runderklapstuk bereid                                                    1541    Meat, meat products and poultry 
Beef rib raw → Runderklapstuk rauw                                                           1406    Meat, meat products and poultry 
Beef rib steak prepared → Runderriblappen bereid                                             1547    Meat, meat products and poultry 
Beef rib steak raw → Runderriblappen rauw                                                    1412    Meat, meat products and poultry 
Beef ribeye steak prepared → Runder ribeye steak bereid                                      2905    Meat, meat products and poultry 
Beef ribeye steak raw → Runder ribeye steak rauw                                             3032    Meat, meat products and poultry 
Beef roast prepared → Runderrosbief bereid                                                   1545    Meat, meat products and poultry 
Beef roast raw → Runderrosbief rauw                                                          1410    Meat, meat products and poultry 
Beef rolled prepared → Runderrollade bereid                                                  1544    Meat, meat products and poultry 
Beef rump steak prepared → Runderbiefstuk bereid                                             1536    Meat, meat products and poultry 
Beef rump steak raw → Runderbiefstuk rauw                                                    1400    Meat, meat products and poultry 
Beef salted cooked → Pekelvlees                                                              338     Meat, meat products and poultry 
Beef salted cooked Surinam → Rundvlees gezouten gekookt Surinaams                            2313    Meat, meat products and poultry 
Beef salted dried Surinam → Rundvlees gezouten gedroogd Surinaams                           699      Meat, meat products and poultry 
Beef salted raw Surinam → Rundvlees gezouten rauw Surinaams                                 698      Meat, meat products and poultry 
Beef shank prepared → Runderschenkel bereid                                                  1546    Meat, meat products and poultry 
Beef shank raw → Runderschenkel rauw                                                         1411    Meat, meat products and poultry 
Beef sirloin rolled raw → Runderrollade rauw                                                 1409    Meat, meat products and poultry 
Beef smoke‐dried → Runderrookvlees                                                           340     Meat, meat products and poultry 
Beef smoke‐dried lightly salted → Runderrookvlees licht gezouten                             2883    Meat, meat products and poultry 
Beef steak tartare prepared → Rundertartaar bereid                                           1550    Meat, meat products and poultry 
Beef steak tartare raw → Rundertartaar rauw                                                  1415    Meat, meat products and poultry 
Beef steak tartare spiced filet americ → Filet americain                                    810      Meat, meat products and poultry 
Beef stewing meat prepared → Runderpoelet bereid                                             1543    Meat, meat products and poultry 
Beef stewing meat raw → Runderpoelet rauw                                                    1408    Meat, meat products and poultry 
Beef stewing steak prepared → Rundersukadelappen bereid                                      1549    Meat, meat products and poultry 
Beef stewing steak raw → Rundersukadelappen rauw                                             1414    Meat, meat products and poultry 
Beef streaked/marbled prepared → Runder doorregen lappen bereid                              1548    Meat, meat products and poultry 
Beef streaked/marbled raw → Runder doorregen lappen rauw                                     1413    Meat, meat products and poultry 
Beef T‐bone steak prepared → Runder T‐bone steak bereid                                      2904    Meat, meat products and poultry 
Beef T‐bone steak raw → Runder T‐bone steak rauw                                             3033    Meat, meat products and poultry 
Beef tenderloin steak raw → Runderbiefstuk van de haas rauw                                  1401    Meat, meat products and poultry 
Beef tongue raw → Rundertong rauw                                                            1416    Meat, meat products and poultry 
Beer >7 vol% alcohol → Bier zwaar >7 vol% alcohol                                            1468    Alc. and non‐alc. drinks 
Beer alcohol free <0,1 vol% → Bier alcoholvrij <0,1 vol% alcohol                             1519    Alc. and non‐alc. drinks 
Beer brown → Bier oud bruin                                                                  389     Alc. and non‐alc. drinks 
Beer low alcohol 0,1‐1,2 vol% → Bier alcoholarm 0,1‐1,2 vol% alcohol                         1520    Alc. and non‐alc. drinks 
Beer pilsner → Bier pils                                                                     390     Alc. and non‐alc. drinks 
Beer with fruit flavour → Bier met vruchtensmaak                                             2837    Alc. and non‐alc. drinks 
Beetroot boiled → Bieten gekookt                                                            958      Vegetables 
Beetroot low sodium tinned → Bieten Na‐ blik/glas                                            1118    Vegetables 
Beetroot pickled glass → Bieten rode zoetzuur glas                                           1454    Vegetables 
Beetroot raw → Bieten rauw                                                                   12      Vegetables 
Berenburg herb liquor → Berenburg                                                            1134    Alc. and non‐alc. drinks 
Berliner pastry → Berliner bol                                                               1470    Pastry, cake and biscuits 
Bilberries → Bessen bos‐                                                                     155     Fruit 
Billberries in syrup tinned → Bessen bos‐ op siroop blik/glas                                180     Fruit 
Binding agents averaged → Bindmiddel gem                                                    223      Cereal products 
Biscuit baby/toddler Nijntje → Biscuit baby‐ en dreumes‐ Nijntje                             2221    Pastry, cake and biscuits 
Biscuit brown/wholemeal → Biscuit tarwe‐/volkoren‐                                          263      Pastry, cake and biscuits 
Biscuit Cafe noir → Cafe noir                                                                2162    Pastry, cake and biscuits 
Biscuit children's average → Koekje kinder‐ gem                                              2406    Pastry, cake and biscuits 
Biscuit chocolate → Biscuit chocolade‐                                                       1471    Pastry, cake and biscuits 

                                                                    3 

----------------------- Page 4-----------------------

                                                 English index for NEVO online 2013 

Biscuit chocolate coated Chocoprins → Biscuit fourre m chocolade Chocoprince                     480     Pastry, cake and biscuits 

Biscuit digestive w chocolate → Biscuit tarwe‐ m chocolade                                      2775     Pastry, cake and biscuits 
Biscuit Dutch Amaretti Bitterkoekjes → Koekje bier‐                                             2696     Pastry, cake and biscuits 
Biscuit Dutch digestive → Biscuit digesve                                                       2894     Pastry, cake and biscuits 
Biscuit Dutch Frou frou → Frou frou                                                             2699     Pastry, cake and biscuits 
Biscuit Dutch 'Jodekoek' → Koek Jode‐                                                           2891     Pastry, cake and biscuits 
Biscuit Dutch shortbread spritsstukken → Spritsstukken                                           262     Pastry, cake and biscuits 
Biscuit Dutch shortbread w chocolate → Spritsstukken m chocolade                                2409     Pastry, cake and biscuits 
Biscuit filled Prince → Biscuit fourre Prince                                                   2227     Pastry, cake and biscuits 
Biscuit fort Liga Derde Stap → Voedingsbiscuit Liga Derde Stap                                   235     Pastry, cake and biscuits 
Biscuit fortifd w currants LigaEvergreen → Voedingsbiscuit Liga Evergreen krenten                873     Pastry, cake and biscuits 

Biscuit fortified Evergreen crunchy → Voedingsbiscuit Evergreen crunchy                         2714     Pastry, cake and biscuits 
Biscuit fortified Fruitkick Extra → Voedingsbiscuit Liga Fruitkick Extra                        2225     Pastry, cake and biscuits 
Biscuit fortified Liga Continue vit/min → Voedingsbiscuit Liga Connue vit en min                2226     Pastry, cake and biscuits 

Biscuit fortified Liga Eerste Stap → Voedingsbiscuit Liga Eerste Stap                           1318     Pastry, cake and biscuits 
Biscuit fortified Liga Evergr assortment → Voedingsbiscuit Liga Evergreen ov smaken             1356     Pastry, cake and biscuits 

Biscuit fortified Liga Fruitkick → Voedingsbiscuit Liga FruitKick                               1321     Pastry, cake and biscuits 
Biscuit fortified Liga Milkbreak → Voedingsbiscuit Liga Milkbreak                               1965     Pastry, cake and biscuits 
Biscuit fortified Liga Tweede Stap → Voedingsbiscuit Liga Tweede Stap                            234     Pastry, cake and biscuits 
Biscuit fortified LU Time Out → Voedingsbiscuit LU Time Out                                     2556     Pastry, cake and biscuits 
Biscuit fruit → Biscuit fruit‐                                                                  2232     Pastry, cake and biscuits 
Biscuit gluten free Glutafin → Biscuit glutenvrij Glutaﬁn                                       1353     Pastry, cake and biscuits 
Biscuit Jaffa cakes/Cake PiM's → Koekje PiM's sinaasappel                                       1480     Pastry, cake and biscuits 
Biscuit muesli → Koek muesli‐                                                                    636     Pastry, cake and biscuits 
Biscuit oatmeal → Koek haver‐                                                                    837     Pastry, cake and biscuits 
Biscuit peanut → Koek pinda‐                                                                    2583     Pastry, cake and biscuits 
Biscuit salted average → Biscuit zoute                                                           264     Nuts, seeds and snacks 
Biscuit savoury Sultana → Biscuit harg Sultana                                                  2527     Nuts, seeds and snacks 
Biscuit shortbread Bastogne → Koek Bastogne                                                      481     Pastry, cake and biscuits 
Biscuit spiced kruidnoten w chocolate → Kruidnoten m chocolade gem                              2952     Pastry, cake and biscuits 
Biscuit spiced Speculaas → Speculaas gem                                                         261     Pastry, cake and biscuits 
Biscuit spiced Speculaas w almnd paste → Speculaas gevulde                                       855     Pastry, cake and biscuits 
Biscuit spiced Speculaas w butter → Speculaas m roomboter                                       2763     Pastry, cake and biscuits 
Biscuit spiced Speculaas wo butter → Speculaas z roomboter                                      2764     Pastry, cake and biscuits 
Biscuit sponge fingers → Lange vingers                                                           260     Pastry, cake and biscuits 
Biscuit sweet → Biscuit                                                                          252     Pastry, cake and biscuits 
Biscuit w dried fruit & yoghurt Yofruit → Biscuit Sultana Yofruit                               2700     Pastry, cake and biscuits 
Biscuit with chocolate layer Scholiertje → Koekje Scholiertje                                   2228     Pastry, cake and biscuits 
Biscuits & snacks cheesy → Koekje kaas‐                                                         1699     Nuts, seeds and snacks 
Biscuits assorted with butter → Koekje roomboter‐ gem                                           1972     Pastry, cake and biscuits 
Biscuits averaged → Koekje gem                                                                   258     Pastry, cake and biscuits 
Biscuits Dutch krakeling → Krakeling                                                             635     Pastry, cake and biscuits 
Biscuits sugar free → Koekje suikervrij                                                         1477     Pastry, cake and biscuits 
Bitter gourd pods boiled → Sopropo gekookt                                                      3134     Vegetables 
Bitter gourd pods raw → Sopropo rauw                                                             683     Vegetables 
Black nightshade raw → Agoemawiwiri rauw                                                         672     Vegetables 
Black pudding → Worst bloed‐                                                                     568     Meat, meat products and poultry 
Blackberries → Bramen                                                                            157     Fruit 
Blackcurrants → Bessen zwarte                                                                    154     Fruit 
Blancmange caramel → Pudding caramel‐                                                            933     Milk en milkproducts 
Blancmange chocolate → Pudding chocolade‐                                                        532     Milk en milkproducts 
Blancmange Delight Line Ton Puts → Pudding Delight Line Ton Puts                                1001     Milk en milkproducts 
Blancmange low fat w sugar → Pudding light                                                      2269     Milk en milkproducts 

                                                                       4 

----------------------- Page 5-----------------------

                                                    English index for NEVO online 2013 

Blancmange powder chocolate → Puddingpoeder chocolade instant                                         488     Cereal products 
Blancmange vanilla w strawberry sauce → Pudding vanille‐ m aardbeiensaus                              940     Milk en milkproducts 

Bloater fried → Bokking bak‐ bereid                                                                   822     Fish 
Blueberries → Bessen blauwe                                                                           152     Fruit 
Boiled sweets → Zuurtjes                                                                              450     Sugar, confectionary, sweet prod. 
Boiled sweets sugar free → Zuurtjes suikervrij                                                       2292     Sugar, confectionary, sweet prod. 
Bottlegourd poeng → Poeng rauw                                                                        681     Vegetables 
Bouillon Cup‐a‐soup prepared → Bouillon Cup‐a‐soup bereid                                            3192     Soups 
Br prod Bambix Zonnig Ontbijt licht volk → Ontbijtprod Bambix Zonnige Ontbijtpap                     1338     Cereal products 
licht volk 
Br prod Bambix Zonnige Ontbijtp 8 granen → Ontbijtprod Bambix Zonnige Ontbijtpap                     1991     Cereal products 
8 granen 
Br prod Bambix Zonnige Ontbijtp fijne gr → Ontbijtprod Bambix Zonnige Ontbijtpap                      224     Cereal products 
fijne granen 
Brains calf's raw → Kalfshersenen rauw                                                                105     Meat, meat products and poultry 
Brandy → Brandewijn                                                                                   391     Alc. and non‐alc. drinks 
Brandy Dutch vieux → Vieux                                                                            416     Alc. and non‐alc. drinks 
Brawn, pork pickled in vinegar → Zult zure                                                           1773     Meat, meat products and poultry 
Brazil nuts unsalted → Noten para‐ ongezouten                                                         203     Nuts, seeds and snacks 
Bread BlondVolkoren → Brood BlondVolkoren                                                            3189     Bread 
Bread Blue Band Goede Start light brown → Brood Blue Band Goede Start Lichtbruin                     2494     Bread 

Bread Blue Band Goede Start white bread → Brood Blue Band Goede Start Witbrood                       2277     Bread 

Bread brown gluten free prep w Glutafin → Brood bruin‐ glutenvrij bereid m bakmix                    3055     Bread 
Glutafin 
Bread brown Turkish → Brood tarwe‐ Turks                                                             3046     Bread 
Bread brown w pumpkin seeds → Brood tarwe‐ m pompoenpien                                             2821     Bread 
Bread brown w seeds → Brood tarwe‐ m diverse zaden                                                   2704     Bread 
Bread brown w sunflower seeds → Brood tarwe‐ m zonnebloempien                                        2382     Bread 
Bread brown wheat → Brood tarwe‐                                                                      236     Bread 
Bread brown wheat prep with bread mix → Brood tarwe‐ bereid met broodmix                             3187     Bread 

Bread brown/wholemeal w muesli → Brood muesli‐ obv meel/volkorenmeel                                 2353     Bread 
Bread brown/wholemeal w pumpkin seeds → Brood tarwe/volkoren‐ m pompoenpien                          2786     Bread 
Bread brown/wholemeal w sunflower seeds → Brood tarwe/volkoren‐ m                                    2787     Bread 
zonnebloempitten 
Bread ciabatta no filling → Brood wit‐ ciabaa ongevuld                                               2789     Bread 
Bread corn → Brood mais‐                                                                             2785     Bread 
Bread corn w sunflower seeds → Brood mais‐ m zonnebloempien                                          2707     Bread 
Bread crumbs → Paneermeel                                                                            1013     Cereal products 
Bread currant → Brood krenten‐                                                                        233     Bread 
Bread currant w almond paste → Brood krenten‐ m spijs                                                2352     Bread 
Bread current wholemeal → Brood krenten‐ volkoren                                                    1459     Bread 
Bread current/raisin w almond paste → Brood krenten/rozijnen m spijs                                 2812     Bread 
Bread gluten free Pain Campagnard Schar → Brood zuurdesem‐ glutenvrij Pain                           3079     Bread 
Campagnard Schar 
Bread linseed → Brood lijnzaad‐                                                                      2349     Bread 
Bread low in carbohydrates → Brood met verlaagd koolhydraatgehalte                                   3007     Bread 
Bread multigrain average w seeds → Brood meergranen‐ m div zaden gem                                 2350     Bread 
Bread multigrain flour w seeds → Brood meergranen‐ m div zaden obv bloem                             2783     Bread 

Bread multigrain gluten free Rustico → Brood meergranen‐ glutenvrij Rusco Schar                      3078     Bread 

Bread multigrain prep w bread mixture → Brood meergranen‐ bereid met broodmix                        3188     Bread 

                                                                          5 

----------------------- Page 6-----------------------

                                                English index for NEVO online 2013 

Bread multigrain wholemeal Becel → Brood meergranen volkoren‐ Becel                          2931     Bread 
Bread multigrain wholemeal w seeds → Brood meergranen‐ m div zaden obv meel                  2784     Bread 

Bread pita white → Broodje wit pita                                                          2790     Bread 
Bread raisin → Brood rozijnen‐                                                               244      Bread 
Bread raisin w almond paste → Brood rozijnen‐ met spijs                                      2814     Bread 
Bread raisin/current average → Brood rozijnen‐krenten gem                                    2813     Bread 
Bread rye average → Brood rogge‐ gem                                                         1395     Bread 
Bread rye dark → Brood rogge‐ donker                                                         242      Bread 
Bread rye dark low sodium → Brood rogge‐ donker Na‐                                          1011     Bread 
Bread rye light → Brood rogge‐ licht                                                         243      Bread 
Bread sourdough wholemeal → Brood zuurdesem‐ volkoren                                        2788    Bread 
Bread Tijger brown wheat → Brood jger‐ bruin                                                 2815     Bread 
Bread Tijger white → Brood jger‐ wit                                                         2816     Bread 
Bread VollerKoren → Brood VollerKoren                                                        3190    Bread 
Bread wheat malt Tarvo → Brood mout‐ Tarvo                                                   249     Bread 
Bread wheat Vikorn → Brood Vikorn                                                            3194    Bread 
Bread wheat w vitamins Vikorn Volvezel → Brood Vikorn Volvezel                               3195    Bread 
Bread wheatrye wholemeal → Brood tarwerogge‐ volkoren                                        1017    Bread 
Bread white average milk/water based → Brood wit‐ gem van melk‐ en waterwit                  2351     Bread 

Bread white Brinta Vezelwit → Brood Brinta Vezelwit                                          3193    Bread 
Bread white gluten free Pan Carre Schar → Brood wit‐ glutenvrij Pan Carre Schar              3077     Bread 

Bread white gluten free prep w Glutafin → Brood wit‐ glutenvrij bereid m bakmix              3054     Bread 
Glutafin 
Bread white milk based → Brood wit‐ melk                                                     241      Bread 
Bread white prepared with bread mixture → Brood wit‐ bereid met broodmix                     3186     Bread 
Bread white Turkish → Brood wit‐ Turks                                                       1361    Bread 
Bread white w sugar Suikerbrood → Brood suiker‐ wit                                          2355     Bread 
Bread white w sunflower seeds → Brood wit‐ m zonnebloempien                                  2358     Bread 
Bread white water based → Brood wit‐ water                                                   248      Bread 
Bread wholemeal average → Brood volkoren‐ gem v ﬁjn en grof                                  246      Bread 
Bread wholemeal Brinta Vezelbruin → Brood Brinta Vezelbruin                                  3057    Bread 
Bread wholemeal fine → Brood volkoren‐ ﬁjn                                                   2811    Bread 
Bread wholemeal w nuts → Brood noten‐ volkoren                                               2354    Bread 
Bread wholemeal w pumpkin seeds → Brood volkoren‐ m pompoenpien                              2348     Bread 
Bread wholemeal w seeds → Brood volkoren‐ m diverse zaden                                    2703     Bread 
Bread wholemeal w sunflower seeds → Brood volkoren‐ m zonnebloempien                         2357     Bread 

Bread wholemeal w wheat kernels → Brood volkoren‐ grof                                       2782     Bread 
Breadsticks → Soepstengel                                                                    2369     Bread 
Breakfast cereal All‐Bran Fruit n Fibre → Ontbijtproduct All‐Bran Fruit 'n Fibre             2004     Cereal products 
Kellogg's 
Breakfast cereal All‐Bran Plus Kellogg's → Ontbijtproduct All‐Bran Plus Kellogg's            591      Cereal products 

Breakfast cereal Brinta → Ontbijtproduct Brinta                                              225      Cereal products 
Breakfast cereal Chocos Kellogg's → Ontbijtproduct Chocos Kellogg's                          2683     Cereal products 
Breakfast cereal Cornflakes → Ontbijtproduct Cornﬂakes                                       2081     Cereal products 
Breakfast cereal Cornflakes Kellogg's → Ontbijtproduct Cornﬂakes Kellogg's                   209      Cereal products 
Breakfast cereal Honey Loops Kellogg's → Ontbijtproduct Honey Loops Kellogg's                2007     Cereal products 

Breakfast cereal Rice Krispies Kellogg's → Ontbijtproduct Rice Krispies Kellogg's            653      Cereal products 

Breakfast cereal Smacks Kellogg's → Ontbijtproduct Smacks Kellogg's                          2006     Cereal products 
