Productgroep_oms,Productgroepcode,Productcode,Controlegetal,Product_omschrijving,Fabrikantnaam,Code_nonactief,Hoeveelheid,Meeteenheid,Eetbaar_gedeelte,Vertrouwelijk_code,Commentaarregel,_01001,_01002,_02001,_02002,_02003,_02004,_03001,_03002,_03004,_03006,_03008,_03009,_03010,_03011,_03012,_03013,_03014,_03015,_03016,_03017,_03018,_03019,_03020,_03021,_03022,_03023,_03024,_03025,_03026,_03027,_03028,_03029,_03030,_03031,_03033,_03034,_03035,_03036,_03037,_03038,_03039,_03040,_03041,_03042,_03043,_03044,_03045,_03046,_03047,_03048,_03049,_03052,_03053,_03054,_03055,_03057,_03058,_03059,_03060,_03061,_03062,_03065,_03089,_03090,_03103,_03104,_03105,_03106,_03107,_03108,_03109,_03113,_03114,_03115,_03116,_03131,_03133,_03134,_03135,_03136,_03138,_03139,_03140,_03141,_03142,_04001,_05001,_05002,_05003,_05005,_05006,_05008,_05009,_05010,_05011,_05012,_05013,_05014,_05015,_06001,_07001,_08001,_09001,_09002,_09003,_09004,_09005,_09006,_09007,_09008,_09009,_10001,_10002,_10003,_11001,_11002,_11003,_11005,_11006,_11007,_11008,_11009,_11010,_11011,_11012,_11013,_11014,_11015,_11016,_11017,_11018,_11019,_11020,_11021,_11022,_11023,_11024,_11027,_11028,_11035,_11036,_11038,_12001,_13006,FoodGroup,EnglishName
Gebak en koek,7,2776,65,Vlaai appelkruimel-,,N,100,g,1,N,Per 100g,304,1279,,3.9,3.1,0.8,11.4,10.6,5.6,3.7,1.3,1.1,,0.5,0.4,0.7,0.7,,,4.3,,,3.4,0.0,0.0,0.0,34.9,0.3,0.0,,0.0,7.2,34.5,0.0,0.0,,,0.4,0.4,,,,,,,,,,,,,10.7,,,,,,,,0.0,,0.0,,,,,,,,,,1.7,,,,0.0,,,,0.0,0.0,1.1,0.00,0.00,0.00,5.0,45.6,22.0,4.6,4.8,0.2,1.6,10.8,23.6,0.0,,,,,1.9,36.4,0.0,20,106,0.7,0.0,0.7,240,130,12,0.40,,0.06,8.8,69,82,77,0.04,0.03,0.021,0.00,0.5,1.8,7,8.8,,0.7,1.4,0.7,0.7,0.0,,0,28,1,1,0,75,8.8,,,,0.8,,"Pastry, cake and biscuits",Flan apple and crumble topping
Gebak en koek,7,2777,69,Vlaai wener bodem m bakkersroom,,N,100,g,1,N,Per 100g. div soorten vlaaien van merk multivlaai,295,1235,,4.1,2.5,1.6,16.0,14.6,9.1,3.9,1.0,0.9,,1.1,0.8,1.3,1.7,,0.0,14.1,0.0,0.0,7.7,0.3,,0.3,26.7,0.6,,,0.2,7.9,25.6,2.2,0.9,,0.0,0.3,0.3,0.0,,0.0,0.0,,0.1,0.0,,,,,0.0,6.1,0.1,0.0,,,,,,1.7,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,0.1,,,,,,0.3,0.1,0.9,0.13,0.00,0.00,16.0,33.0,20.0,2.7,1.6,1.2,1.4,13.1,13.0,0.0,,,,,1.6,44.6,0.0,58,126,0.5,0.0,0.5,166,108,12,0.41,,0.05,,57,83,153,0.02,0.07,0.006,0.10,0.2,1.4,0,5.0,,0.3,1.1,0.5,0.7,0.0,,2,14,3,2,0,70,5.0,,,,0.8,,"Pastry, cake and biscuits",Flan hard shell with custard cream
Gebak en koek,7,2778,73,Vlaai zachte bodem m bakkersroom,,N,100,g,1,N,Per 100g. div soorten vlaaien van merk multivlaai,252,1057,,3.5,2.1,1.4,12.5,11.4,7.3,3.2,0.9,0.8,,0.9,0.8,1.8,1.8,,,14.4,,,7.5,0.3,0.0,0.3,27.8,0.5,0.0,,0.0,8.6,27.2,0.0,0.0,,,0.3,0.0,,,,,,,,,,,,,7.0,,,,,,,,0.0,,0.0,,,,,,,,,,1.0,,,,0.0,,,,0.0,0.0,0.8,0.00,0.00,0.00,16.0,30.8,16.8,4.1,2.8,1.3,1.0,7.6,14.0,0.0,,,,,1.4,51.1,0.0,59,95,0.5,0.0,0.5,162,115,12,0.36,,0.06,,52,82,180,0.02,0.08,0.013,0.08,0.2,1.2,1,5.3,,0.4,1.0,0.4,0.5,0.0,,2,21,4,2,0,67,5.3,,,,0.7,,"Pastry, cake and biscuits",Flan sponge with custard cream
Graanproducten en bindmiddelen,8,2779,78,Pasta witte z ei gekookt,,N,100,g,1,N,Per 100g,146,617,,5.2,5.2,0.0,0.8,0.5,0.1,0.1,0.3,0.3,,,,,,,,,,,,,,,18.8,,,,,0.7,15.2,0.0,4.3,,,0.7,,,,,0.0,,,,,,,,0.0,60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.3,0.02,0.00,0.00,,28.7,0.8,0.0,0.0,0.0,0.7,0.1,27.9,0.0,,,,,1.4,63.7,0.0,15,73,0.6,0.0,0.6,3,50,18,0.60,1,0.12,1.0,0,0,1,0.02,0.03,0.016,,,0.1,0,4.5,,1.0,0.1,0.1,0.0,0.4,,1,52,0,1,1,0,4.5,,,,0.2,,Cereal products,Pasta white wo egg boiled
Graanproducten en bindmiddelen,8,2780,42,Pasta witte m ei gekookt,,N,100,g,1,N,Per 100g,124,526,,4.7,2.9,1.8,0.8,0.6,0.2,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.2,0.01,0.00,0.00,,23.4,0.3,0.0,0.0,0.0,0.2,0.1,23.1,0.0,,,,,2.2,68.6,0.0,21,88,1.2,0.0,1.2,5,40,31,0.90,,0.15,3.0,,0,1,0.02,0.03,0.024,,,0.4,0,3.9,,0.7,0.3,0.1,0.5,0.0,,1,142,33,2,0,0,3.9,,,,0.3,,Cereal products,Pasta white w egg boiled
Graanproducten en bindmiddelen,8,2781,46,Pasta witte vers gekookt,,N,100,g,1,N,Per 100g,129,547,,4.9,3.1,1.8,1.3,0.9,0.2,0.1,0.5,0.5,,,,,,,,,,,,,,,18.8,,,,,0.7,15.2,0.0,4.3,,,0.7,,,,,0.0,,,,,,,,0.0,60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.5,0.04,0.00,0.00,,23.9,0.2,0.0,0.0,0.0,0.2,0.0,23.7,0.0,,,,,1.3,68.3,0.0,18,75,0.6,0.0,0.6,3,39,15,0.70,,0.12,1.0,,15,74,0.03,0.03,0.030,,,0.3,0,4.7,,1.1,0.2,0.1,0.4,0.0,,22,79,7,5,6,7,4.7,,,,0.3,,Cereal products,Pasta white fresh boiled
Brood,3,2782,51,Brood volkoren- grof,,N,100,g,1,N,Per 100g,235,994,1.8,11.3,11.3,0.0,2.4,2.2,0.5,0.7,1.0,0.9,,0.0,0.0,sp,sp,,,0.3,,,0.3,sp,0.0,sp,15.8,0.4,0.0,,0.1,3.6,31.8,0.2,4.6,,,0.3,0.8,0.0,0.0,0.1,0.0,sp,0.3,,,sp,0.0,0.0,0.0,39.6,0.2,0.1,,,0.0,,,1.0,0.0,sp,,,,0.0,0.0,,,sp,,sp,,,,,sp,,,0.0,0.1,0.9,0.10,0.00,0.00,0.7,38.6,1.8,0.1,0.2,sp,1.5,0.1,36.8,0.0,,,,,6.8,38.7,0.0,36,197,2.0,0.0,2.0,466,218,65,1.38,5,0.22,67.6,0,0,0,0.11,0.07,0.108,0.00,0.0,0.2,0,42.7,,1.7,0.1,0.1,0.2,0.0,,0,,,,,0,42.7,,,,2.1,,Bread,Bread wholemeal w wheat kernels
Brood,3,2783,55,Brood meergranen- m div zaden obv bloem,,N,100,g,1,N,Per 100g. gemiddelde van licht en donker meergranenbrood obv bloem,267,1127,2.0,12.5,12.5,0.0,5.0,4.3,0.8,1.3,2.2,1.8,,0.0,0.0,0.0,0.0,,,0.1,,,0.1,0.0,0.0,0.0,12.4,0.2,0.0,,0.0,4.9,28.4,0.0,9.1,,,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.4,,,0.0,0.0,0.0,0.0,42.1,0.2,0.0,,,0.0,,,0.7,0.0,0.0,,,,0.0,0.0,,,0.0,,0.0,,,,,0.0,,,0.0,0.4,1.8,0.40,0.00,0.00,1.0,40.4,2.2,0.1,0.2,0.1,1.7,0.2,38.2,0.0,,,,,5.4,34.6,0.0,46,158,1.7,0.0,1.7,487,199,52,1.18,6,0.24,70.6,0,0,0,0.11,0.07,0.094,0.00,0.0,0.1,0,35.8,,1.6,0.1,0.0,0.3,0.0,,0,,,,,0,35.8,,,,2.2,,Bread,Bread multigrain flour w seeds
Brood,3,2784,59,Brood meergranen- m div zaden obv meel,,N,100,g,1,N,Per 100g. gemiddelde van licht en donker meergranenbrood obv meel,254,1072,2.0,12.2,12.2,0.0,4.6,3.9,0.7,1.2,2.0,1.6,,0.0,0.0,0.0,0.0,,,0.2,,,0.2,0.0,0.0,0.0,11.8,0.2,0.0,,0.1,4.2,29.0,0.1,11.1,,,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,,,0.0,0.0,0.0,0.0,40.1,0.3,0.0,,,0.0,,,1.1,0.0,0.0,,,,0.0,0.0,,,0.0,,0.0,,,,,0.0,,,0.0,0.4,1.6,0.44,0.00,0.00,0.9,37.5,2.0,0.1,0.2,0.0,1.5,0.1,35.1,0.0,,,,,7.2,36.4,0.0,44,177,1.9,0.0,1.9,487,199,62,1.29,6,0.25,70.6,0,0,0,0.11,0.07,0.084,0.00,0.0,0.1,0,40.8,,1.7,0.1,0.0,0.2,0.0,,0,71,,0,,0,40.8,,,,2.2,,Bread,Bread multigrain wholemeal w seeds
Brood,3,2785,63,Brood mais-,,N,100,g,1,N,Per 100g,262,1105,1.7,10.9,10.9,0.0,3.5,3.1,0.6,1.1,1.4,1.3,,0.0,0.0,sp,sp,,,0.2,,,0.2,0.0,0.0,sp,12.4,0.3,0.0,,0.1,4.2,33.9,0.3,3.1,,,0.3,0.6,0.0,0.0,0.1,0.0,sp,0.5,,,sp,0.0,0.0,0.0,42.6,0.2,sp,,,0.0,,,0.9,0.0,sp,,,,0.0,0.0,,,sp,,sp,,,,,sp,,,0.0,0.1,1.3,0.09,0.00,0.00,0.0,44.2,2.5,0.1,0.1,sp,2.1,0.1,41.8,0.0,,,,,4.7,34.8,0.0,34,115,1.2,0.0,1.2,477,144,34,0.89,5,0.18,69.2,0,0,0,0.09,0.05,0.055,0.00,0.0,0.1,0,32.7,,1.2,0.1,0.0,0.3,0.0,,0,,,,,0,32.7,,,,1.9,,Bread,Bread corn
